LFQ intensity 1	LFQ intensity 2	LFQ intensity 3	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 19	LFQ intensity 20	LFQ intensity 21	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
2.1521E+07	1.7693E+07	0	6508000	1.1143E+07	609230	7666000	0	0	0	5187100	1.3402E+07	3592200	1.7375E+07	1.3644E+07	3600400	1.0361E+07	4233100	0	0	5971700	5841700	0	1.4333E+07				1	1	1	6.5	6.5	6.5	20.774	0.0013684	2.7833	304330000	3	A0A087WUM0;P57105	A0A087WUM0;P57105	Synaptojanin-2-binding protein	SYNJ2BP-COX16;SYNJ2BP	tr|A0A087WUM0|A0A087WUM0_HUMAN SYNJ2BP-COX16 readthrough (Fragment) OS=Homo sapiens GN=SYNJ2BP-COX16 PE=4 SV=1;sp|P57105|SYJ2B_HUMAN Synaptojanin-2-binding protein OS=Homo sapiens GN=SYNJ2BP PE=1 SV=2
0	0	0	0	0	0	8595800	0	5297500	0	0	0	1.3921E+07	0	7429400	4657100	0	2658700	4509800	7370000	0	0	0	1539800				4	4	3	18.2	18.2	5.9	56.453	0.001804	2.5277	109790000	3	A0A087WUU8;A8MTY0;P17019;Q96N38;Q14593;Q03923	A0A087WUU8;A8MTY0;P17019;Q96N38;Q14593;Q03923	Putative zinc finger protein 724;Zinc finger protein 708;Zinc finger protein 714;Zinc finger protein 273;Zinc finger protein 85	ZNF708;ZNF724P;ZNF714;ZNF273;ZNF85	tr|A0A087WUU8|A0A087WUU8_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=2;sp|A8MTY0|ZN724_HUMAN Zinc finger protein 724 OS=Homo sapiens GN=ZNF724 PE=2 SV=3;sp|P17019|ZN708_HUMAN Zinc finger protein 708 OS=Homo sapiens GN=ZNF708 PE=1 SV=5;
1.4819E+07	7458900	8735900	8812700	9665700	1.6187E+07	1.3407E+07	0	0	1.4743E+07	1.4534E+07	0	8429200	7798500	1.2452E+07	6191100	6742200	8860800	2393000	7339500	1.6625E+07	7038200	1.278E+07	0				3	3	3	6.2	6.2	6.2	95.921	0	17.008	313360000	10	A0A087WZ62;Q9H6U8	A0A087WZ62;Q9H6U8	Alpha-1,2-mannosyltransferase ALG9	ALG9	tr|A0A087WZ62|A0A087WZ62_HUMAN Mannosyltransferase OS=Homo sapiens PE=3 SV=1;sp|Q9H6U8|ALG9_HUMAN Alpha-1,2-mannosyltransferase ALG9 OS=Homo sapiens GN=ALG9 PE=1 SV=2
4.3713E+07	4.0893E+07	3.5488E+07	3.0979E+07	4.2297E+07	8.5656E+07	6.1386E+07	6.3094E+07	6.6786E+07	6.2091E+07	4.8855E+07	5.9242E+07	5.8541E+07	5.6954E+07	7.2755E+07	8.5951E+07	6.1859E+07	4.7091E+07	8.6008E+07	4.9269E+07	5.9175E+07	6.9533E+07	6.2998E+07	6.2386E+07				9	9	9	11.8	11.8	11.8	126.1	0	32.038	2484900000	24	A0A087WZG4;Q6ZSZ5	A0A087WZG4;Q6ZSZ5	Rho guanine nucleotide exchange factor 18	ARHGEF18	tr|A0A087WZG4|A0A087WZG4_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2;sp|Q6ZSZ5|ARHGI_HUMAN Rho guanine nucleotide exchange factor 18 OS=Homo sapiens GN=ARHGEF18 PE=1 SV=3
4.7973E+08	4.0381E+08	3.8212E+08	4.2059E+08	4.5381E+08	4.1957E+08	4.6508E+08	3.9269E+08	3.1419E+08	3.8375E+08	3.689E+08	3.9465E+08	3.6105E+08	3.8045E+08	3.8501E+08	4.2263E+08	3.4611E+08	3.1583E+08	3.7651E+08	5.2822E+08	3.8094E+08	4.427E+08	3.5397E+08	4.336E+08				18	18	18	64.5	64.5	64.5	30.376	0	253.58	17224000000	267	A0A096LPI6;P30042	A0A096LPI6;P30042	ES1 protein homolog, mitochondrial	C21orf33	tr|A0A096LPI6|A0A096LPI6_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2;sp|P30042|ES1_HUMAN ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33 PE=1 SV=3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	1.4	1.4	1.4	121.98	0	9.9273	0	0	A0A0A0MRY4;Q96N96	A0A0A0MRY4;Q96N96	Spermatogenesis-associated protein 13	SPATA13	tr|A0A0A0MRY4|A0A0A0MRY4_HUMAN Uncharacterized protein OS=Homo sapiens PE=4 SV=1;sp|Q96N96|SPT13_HUMAN Spermatogenesis-associated protein 13 OS=Homo sapiens GN=SPATA13 PE=1 SV=1
1.026E+08	9.9256E+07	1.0057E+08	8.6751E+07	1.0727E+08	6.8641E+07	6.5822E+07	6.2171E+07	3.844E+07	6.5218E+07	8.1801E+07	8.8609E+07	8.061E+07	8.3945E+07	9.4436E+07	8.198E+07	9.2831E+07	7.7105E+07	7.8876E+07	8.3623E+07	6.2649E+07	7.0978E+07	7.5929E+07	6.3979E+07				5	5	5	24.5	24.5	24.5	21.233	0	17.853	3353100000	82	A0A0A6YYA0;Q9Y3B3	A0A0A6YYA0;Q9Y3B3	Transmembrane emp24 domain-containing protein 7	TMED7-TICAM2;TMED7	tr|A0A0A6YYA0|A0A0A6YYA0_HUMAN Protein TMED7-TICAM2 OS=Homo sapiens GN=TMED7-TICAM2 PE=3 SV=1;sp|Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2
1.8328E+07	1.8927E+07	1.7764E+07	2.0127E+07	2.0312E+07	2.757E+07	2.4127E+07	3.2304E+07	4.0151E+07	3.2521E+07	2.134E+07	2.2079E+07	2.4967E+07	2.1807E+07	1.7527E+07	1.7316E+07	2.6872E+07	2.4488E+07	2.0113E+07	2.3714E+07	1.8741E+07	2.9081E+07	2.4195E+07	2.3307E+07				14	14	14	32.5	32.5	32.5	59.57	0	22.655	970050000	38	A0A0A6YYC7;Q96JP5	A0A0A6YYC7;Q96JP5	E3 ubiquitin-protein ligase ZFP91	ZFP91-CNTF;ZFP91	tr|A0A0A6YYC7|A0A0A6YYC7_HUMAN HCG2042749, isoform CRA_d OS=Homo sapiens GN=ZFP91-CNTF PE=4 SV=1;sp|Q96JP5|ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens GN=ZFP91 PE=1 SV=1
2.8791E+09	3.0795E+09	3.327E+09	2.7491E+09	2.9621E+09	3.9718E+09	2.776E+09	3.561E+09	3.3342E+09	3.4254E+09	3.6481E+09	3.7874E+09	3.8626E+09	3.5223E+09	3.1367E+09	3.843E+09	3.7599E+09	3.1195E+09	3.3353E+09	3.5595E+09	3.4295E+09	3.582E+09	4.1308E+09	2.9577E+09				35	35	35	68	68	68	26.372	0	323.31	147920000000	707	A0A0A6YYL6;P18621	A0A0A6YYL6;P18621	60S ribosomal protein L17	RPL17-C18orf32;RPL17	tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens GN=RPL17-C18orf32 PE=3 SV=1;sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3
1.3108E+07	2.1887E+07	1.0614E+07	0	8000800	1.4331E+07	1.4152E+07	9113500	1.1929E+07	1.0886E+07	1.0867E+07	1.299E+07	1.2335E+07	8613100	8351100	1.3577E+07	1.6669E+07	9147100	1.0959E+07	1.6161E+07	1.3316E+07	1.5338E+07	7231000	1.5322E+07				3	3	3	37.7	37.7	37.7	11.695	0	5.569	472610000	2	A0A0B4J1R7;Q96B45	A0A0B4J1R7;Q96B45	UPF0693 protein C10orf32	C10orf32-ASMT;C10orf32	tr|A0A0B4J1R7|A0A0B4J1R7_HUMAN BORCS7-ASMT readthrough (NMD candidate) OS=Homo sapiens GN=BORCS7-ASMT PE=1 SV=1;sp|Q96B45|BORC7_HUMAN BLOC-1-related complex subunit 7 OS=Homo sapiens GN=BORCS7 PE=3 SV=1
